OBJECTID,Date,Dead,Serious injuries,Light injuries,Day of the week,Day/Night,Type of the accident,Cause of the accident,Alcohol or drugs,Weather conditions,Place,Vehicle type,Vehicle characteristic,Skid,Total damage in Czk,x,y
288,11/22/2017,0,0,1,Wednesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,105000,1848274.0105300224,6310476.43537628
289,11/22/2017,0,0,0,Wednesday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,Private company,No,0,1845880.6408100503,6304074.9582497375
290,11/22/2017,0,0,0,Wednesday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,1000,1846754.0633309307,6310618.609186795
291,11/22/2017,0,0,0,Wednesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1849728.6200898304,6310566.69759819
292,11/22/2017,0,0,0,Wednesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1847962.6697291436,6311034.028096676
293,11/21/2017,0,0,0,Tuesday,Night,Collision with a fixed obstacle,The driver of the motor vehicle,No,Rain,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",Yes,15000,1848507.2201878142,6307296.079418365
294,11/21/2017,0,0,0,Tuesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,Not tested,Rain,Near the pedestrian crossing,"Not identified, the driver has fled",Not identified,No,0,1853335.4844694915,6313998.564192599
295,11/21/2017,0,0,0,Tuesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,"At the beginning of the rain, light rain, drizzle, etc.",None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,30000,1847156.6656314724,6312637.140029282
296,11/21/2017,0,0,0,Tuesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1846220.2774670168,6310331.666480595
297,11/21/2017,0,0,0,Tuesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,"At the beginning of the rain, light rain, drizzle, etc.",None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,15000,1844690.9744213216,6310330.359900527
298,11/21/2017,0,0,0,Tuesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,Police,No,60000,1847869.3984673931,6311402.478859386
299,11/21/2017,0,0,0,Tuesday,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,80000,1841719.2616527723,6305911.396695456
300,11/21/2017,0,0,1,Tuesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Registered outside of the Czech Republic,No,30000,1846502.3646189137,6304271.607132498
301,11/21/2017,0,0,0,Tuesday,Night,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,80000,1853977.4458278203,6307365.039319545
302,11/21/2017,0,0,0,Tuesday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,0,1846805.1635413037,6313848.101049602
303,11/20/2017,0,0,1,Monday,Day,Collision with pedestrian,The driver of the motor vehicle,No,"Frost, icy",Pedestrian crossing,Truck,"Private, not used for business activity",No,5000,1841293.5369581569,6307892.725170531
304,11/20/2017,0,0,0,Monday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",Yes,30000,1845264.0343581822,6319296.834486647
305,11/20/2017,0,0,0,Monday,Day,Crash,The driver of the motor vehicle,No,"Frost, icy","Bridge, overpass, underpass, tunnel",Passenger car without a trailer,"Private, not used for business activity",Yes,40000,1846831.0347475635,6315083.9435952455
306,11/20/2017,0,0,0,Monday,Day,Crash,The driver of the motor vehicle,No,"Frost, icy",None or none of listed,Passenger car without a trailer,"Private, not used for business activity",Yes,30000,1846843.6127368277,6315082.578822639
307,11/20/2017,0,0,0,Monday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,1000,1845240.658266989,6319284.724838489
308,11/20/2017,0,0,1,Monday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,20000,1852958.490327251,6315216.370212899
309,11/20/2017,0,0,0,Monday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,120000,1851085.3173669933,6311955.915330798
310,11/20/2017,0,0,0,Monday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",Yes,30000,1845240.658266989,6319284.724838489
311,11/20/2017,0,0,0,Monday,Day,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Truck,Private company,No,10000,1849237.3382338881,6309690.871380892
312,11/20/2017,0,0,0,Monday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1846986.5705627352,6306448.050425462
313,11/20/2017,0,0,0,Monday,Day,Crash,The driver of the motor vehicle,Not tested,Clear,Pedestrian crossing,Truck,Private company,No,0,1842551.1156946782,6304965.5000535
314,11/20/2017,0,0,0,Monday,Day,Crash,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1855194.8590449116,6298816.923514192
315,11/20/2017,0,0,0,Monday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1849981.6014250228,6309237.963737329
316,11/20/2017,0,0,0,Monday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1845864.4027472485,6316866.712333144
317,11/20/2017,0,0,0,Monday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Truck with semi-trailer,Registered outside of the Czech Republic,No,0,1857209.926284665,6304117.288194049
318,11/20/2017,0,0,0,Monday,Night,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Truck,Private company,No,5000,1851053.966013526,6300747.713230586
319,11/19/2017,0,0,0,Sunday,Day,Collision with a parked vehicle,The driver of the motor vehicle,No,Snow,"Bus, trolleybus, tram stop. islet",Bus,Private company,No,20000,1849525.1424208758,6307842.342513739
320,11/19/2017,0,0,0,Sunday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",Yes,20000,1844314.775100243,6308858.74162669
321,11/19/2017,0,0,0,Sunday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,"Bridge, overpass, underpass, tunnel",Truck,"Private, used for business activity",No,120000,1847888.6371470704,6301567.068790968
322,11/19/2017,0,0,1,Sunday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",Yes,50000,1847750.1009313327,6303139.273330356
323,11/19/2017,0,0,0,Sunday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,"Exit from the car park, forest roads, etc.","Not identified, the driver has fled",Not identified,No,0,1845935.1608665038,6303383.322642975
324,11/19/2017,0,0,1,Sunday,Day,Collision with pedestrian,Pedestrian,Under influence of alcohol,Clear,"Bus, trolleybus, tram stop. islet",Tram,Public transport,No,0,1849126.2662063283,6307296.909278285
325,11/18/2017,0,0,2,Saturday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,40000,1853570.4454055198,6297597.282954895
326,11/18/2017,0,0,0,Saturday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,30000,1844314.775100243,6308858.74162669
327,11/18/2017,0,0,0,Saturday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1845888.5089829806,6309278.832611451
328,11/18/2017,0,0,0,Saturday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,130000,1848416.117318425,6306067.502485085
329,11/17/2017,0,0,0,Friday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1850867.2048585408,6310905.090155043
330,11/17/2017,0,0,1,Friday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,"Bridge, overpass, underpass, tunnel",Passenger car without a trailer,"Private, not used for business activity",No,30000,1851612.0607146411,6311449.380581068
331,11/17/2017,0,1,0,Friday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,20000,1846706.875110103,6310940.856804592
332,11/17/2017,0,0,0,Friday,Night,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,50000,1843201.6446462919,6304391.945071082
333,11/17/2017,0,0,0,Friday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1848478.1190465356,6309081.439384535
334,11/16/2017,0,0,0,Thursday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1848387.5941479367,6305373.322998111
335,11/16/2017,0,0,0,Thursday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,"Bridge, overpass, underpass, tunnel",Truck with semi-trailer,Private company,No,10000,1844323.6640729033,6308428.902209963
336,11/16/2017,0,0,0,Thursday,Day,Other collisions,Technical defect of the vehicle,Not tested,Clear,"Bridge, overpass, underpass, tunnel",Truck,Private company,No,10000,1844009.649600491,6305811.8514057575
337,11/16/2017,0,0,0,Thursday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,20000,1845757.9510351494,6303646.898654171
338,11/16/2017,0,0,0,Thursday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,"Bridge, overpass, underpass, tunnel",Passenger car without a trailer,Private company,No,0,1844009.649600491,6305811.8514057575
339,11/16/2017,0,0,1,Thursday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,50000,1851311.4575692024,6307210.468019133
340,11/16/2017,0,0,0,Thursday,Day,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,20000,1848631.0126935916,6307434.221902272
341,11/16/2017,0,0,0,Thursday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,0,1840133.5316477465,6312406.782605501
342,11/15/2017,0,0,0,Wednesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1851148.2351431875,6312581.941176594
343,11/15/2017,0,0,0,Wednesday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,1000,1847781.519187815,6306987.6243391
344,11/15/2017,0,0,0,Wednesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,Registered outside of the Czech Republic,No,10000,1848248.3726494156,6306460.607615157
345,11/15/2017,0,1,0,Wednesday,Day,Collision with pedestrian,Pedestrian,Under influence of alcohol,Clear,Near the pedestrian crossing,Passenger car without a trailer,Private company,No,40000,1856737.3513351972,6309602.169162218
346,11/15/2017,0,0,2,Wednesday,Night,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,20000,1846632.9971507997,6318151.917536636
347,11/15/2017,0,0,0,Wednesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1849768.6352166308,6308906.41849017
348,11/14/2017,0,0,1,Tuesday,Day,Crash,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,0,1849083.5297632567,6310680.042070551
349,11/14/2017,0,0,0,Tuesday,Night,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1851721.907782532,6307657.775104758
350,11/14/2017,0,0,1,Tuesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,80000,1849986.7442741776,6309849.137477179
351,11/14/2017,0,0,0,Tuesday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,5000,1848447.899812283,6307661.811647959
352,11/14/2017,0,0,1,Tuesday,Day,Other collisions,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1843957.0626069978,6307669.298770445
353,11/14/2017,0,0,0,Tuesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1851248.8386858434,6308684.712597601
354,11/14/2017,0,0,0,Tuesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1848366.242624325,6305963.442593711
355,11/13/2017,0,0,1,Monday,Night,Collision with pedestrian,Pedestrian,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,20000,1851292.7517759302,6307072.834736603
356,11/13/2017,0,0,0,Monday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1849664.75888095,6308450.515396281
357,11/13/2017,0,0,0,Monday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Under influence of alcohol,Clear,Parking slot adjacent to the road,Truck,Private company,No,0,1848724.633609867,6313665.117877142
358,11/13/2017,0,0,0,Monday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1854796.1568227299,6309319.912265336
359,11/13/2017,0,0,1,Monday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,50000,1843939.80496898,6304452.369501218
360,11/13/2017,0,0,0,Monday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,"Bridge, overpass, underpass, tunnel",Passenger car without a trailer,Private company,No,80000,1844704.6681658435,6310369.381032369
361,11/13/2017,0,0,0,Monday,Night,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,"Exit from the car park, forest roads, etc.","Not identified, the driver has fled",Not identified,No,0,1845454.2448589045,6302902.532151949
362,11/13/2017,0,0,0,Monday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1849544.0757511857,6307919.315996675
363,11/12/2017,0,0,1,Sunday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,"Exit from the car park, forest roads, etc.",Passenger car without a trailer,"Private, not used for business activity",Yes,40000,1845391.5293502249,6307881.503560467
364,11/12/2017,0,0,0,Sunday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Near the pedestrian crossing,"Not identified, the driver has fled",Not identified,No,0,1840163.2893513863,6307217.173773416
365,11/12/2017,1,0,0,Sunday,Day,Collision with a non rail vehicle ,Driver of a non-motorized vehicle,No,Clear,"Exit from the car park, forest roads, etc.",Bicycle,"Private, not used for business activity",No,3000,1845476.4542105147,6310623.256157505
366,11/12/2017,0,0,0,Sunday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,"At the beginning of the rain, light rain, drizzle, etc.",Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1847320.3087338423,6306556.364530056
367,11/12/2017,0,0,0,Sunday,Night,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Rain,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,20000,1846672.927340828,6311056.571240549
368,11/12/2017,0,0,1,Sunday,Night,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,30000,1848155.3020967103,6306218.584103541
369,11/11/2017,0,0,0,Saturday,Night,Collision with wildlife animals,"Forest animals, pets",Not tested,Rain,None or none of listed,Truck with semi-trailer,Private company,No,40000,1858925.2498767714,6304319.006899862
370,11/11/2017,0,0,0,Saturday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,"Bus, trolleybus, tram stop. islet",Passenger car without a trailer,"Private, not used for business activity",No,30000,1846430.062720961,6315084.640047061
371,11/11/2017,0,0,1,Saturday,Day,Collision with pedestrian,Driver of a non-motorized vehicle,No,Clear,None or none of listed,Bicycle,"Private, not used for business activity",No,0,1839931.9215858872,6312074.9432187965
372,11/11/2017,0,0,1,Saturday,Day,Crash,Driver of a non-motorized vehicle,Under influence of alcohol,Clear,None or none of listed,Bicycle,"Private, not used for business activity",No,1000,1845215.8205508867,6303491.124570046
373,11/11/2017,0,0,1,Saturday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,20000,1840784.4306253514,6306643.467412799
374,11/11/2017,0,0,0,Saturday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1849493.5031951999,6307164.03138347
375,11/11/2017,0,0,0,Saturday,Night,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,30000,1840045.2941420516,6304174.611410852
376,11/10/2017,0,0,1,Friday,Night,Collision with a non rail vehicle ,Driver of a non-motorized vehicle,Under influence of alcohol,Clear,None or none of listed,Bicycle,Other,No,2000,1847341.462554041,6306659.751826946
377,11/10/2017,0,0,0,Friday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,40000,1849107.7731445997,6306919.782643267
378,11/10/2017,0,0,0,Friday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Near the pedestrian crossing,"Not identified, the driver has fled",Not identified,No,0,1847672.2887185868,6309353.054217221
379,11/10/2017,0,0,0,Friday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1846099.9344183009,6310136.734573647
380,11/10/2017,0,0,1,Friday,Day,Collision with pedestrian,Pedestrian,No,Clear,None or none of listed,Truck,Private company,No,0,1849932.267854965,6308733.826838823
381,11/10/2017,0,0,1,Friday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,"At the beginning of the rain, light rain, drizzle, etc.","Bus, trolleybus, tram stop. islet",Passenger car without a trailer,Registered outside of the Czech Republic,No,10000,1843717.5449189432,6305694.51908478
382,11/10/2017,0,0,0,Friday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Rain,None or none of listed,Passenger car without a trailer,Private company,No,120000,1852900.8632324946,6310038.339226633
383,11/10/2017,0,0,0,Friday,Day,Crash,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Registered outside of the Czech Republic,Yes,20000,1848537.8302647981,6307217.551737681
384,11/10/2017,0,0,0,Friday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1847278.6313844058,6311526.228196688
385,11/9/2017,0,0,0,Thursday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1846508.4702703436,6316158.837120067
386,11/9/2017,0,1,0,Thursday,Day,Collision with pedestrian,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,1000,1854707.026312076,6307198.080212855
387,11/8/2017,0,0,1,Wednesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,20000,1844331.1573217856,6309374.643025509
388,11/8/2017,0,0,1,Wednesday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,90000,1857294.2939909042,6309966.784947067
389,11/8/2017,0,0,0,Wednesday,Day,Other collisions,Other,Not tested,Clear,"Bridge, overpass, underpass, tunnel",Passenger car without a trailer,Private company,No,10000,1851261.306023533,6311760.252385068
390,11/8/2017,0,0,0,Wednesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Truck with semi-trailer,Private company,No,0,1844472.4827586815,6307981.875462146
391,11/8/2017,0,0,0,Wednesday,Day,Collision with wildlife animals,"Forest animals, pets",Not tested,"At the beginning of the rain, light rain, drizzle, etc.",None or none of listed,Passenger car without a trailer,Not identified,No,30000,1859286.7575854112,6312015.6115928665
392,11/8/2017,0,0,0,Wednesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Under influence of alcohol,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,20000,1850657.129617327,6307386.282536491
393,11/7/2017,0,0,0,Tuesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,20000,1850605.7445403775,6305487.176809843
394,11/7/2017,0,0,0,Tuesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1850082.3411114062,6306049.219466874
395,11/7/2017,0,0,0,Tuesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,200000,1849377.8232086324,6309710.631500161
396,11/7/2017,0,0,0,Tuesday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1849128.8898954012,6309046.318826137
397,11/7/2017,0,0,0,Tuesday,Night,Collision with wildlife animals,"Forest animals, pets",Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,50000,1837634.5684889464,6307323.045990115
398,11/7/2017,0,0,0,Tuesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,Not tested,Clear,Near the pedestrian crossing,"Not identified, the driver has fled",Not identified,No,0,1848842.3579788846,6306054.713581803
399,11/7/2017,0,0,0,Tuesday,Night,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1849293.9398535008,6308059.893600717
400,11/7/2017,0,0,0,Tuesday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Truck,Private company,No,0,1848090.7026169656,6311437.066636302
401,11/7/2017,0,0,0,Tuesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1842932.3495510472,6313271.723833494
402,11/6/2017,0,0,0,Monday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Truck with semi-trailer,Private company,No,0,1857658.334329281,6310721.481629837
403,11/6/2017,0,0,0,Monday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1847194.9520779003,6306252.854094564
404,11/6/2017,0,0,0,Monday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Truck,Private company,No,0,1853153.3534260925,6301272.9196238555
405,11/6/2017,0,0,1,Monday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Truck,Private company,No,5000,1849518.3264397697,6307158.238808958
406,11/6/2017,0,0,0,Monday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,50000,1844688.6347082597,6310262.71006875
407,11/6/2017,0,0,0,Monday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,"Bridge, overpass, underpass, tunnel",Truck with trailer,Private company,No,30000,1844523.6857169464,6307874.720792954
408,11/6/2017,0,0,0,Monday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1848363.433810935,6311444.045354123
409,11/6/2017,0,0,1,Monday,Day,Collision with pedestrian,Pedestrian,Under influence of alcohol,Clear,None or none of listed,Troleybus,Private company,No,0,1847138.3261906425,6307218.283479263
410,11/6/2017,0,0,3,Monday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,Private company,No,50000,1847823.3193226487,6311589.437163295
411,11/6/2017,0,0,2,Monday,Night,Crash,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,45000,1844711.1272566523,6310430.895763074
412,11/5/2017,0,0,0,Sunday,Night,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,5000,1846965.8955276713,6307326.4563988075
413,11/5/2017,0,0,1,Sunday,Night,Collision with pedestrian,The driver of the motor vehicle,Under influence of alcohol,Clear,None or none of listed,Passenger car without a trailer,"Private, used for business activity",No,0,1849157.4600427179,6307990.564152641
414,11/5/2017,0,0,1,Sunday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,50000,1846551.3409647192,6313420.066259185
415,11/5/2017,0,0,0,Sunday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1851254.0997562937,6312586.198412793
416,11/5/2017,0,0,9,Sunday,Night,Collision with a tram,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Tram,Public transport,No,500000,1848729.9633644444,6307114.149762125
417,11/4/2017,0,0,0,Saturday,Day,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Bus,Public transport,No,150000,1852975.0621258875,6314810.077972982
418,11/4/2017,0,0,0,Saturday,Day,Other collisions,The driver of the motor vehicle,No,Clear,None or none of listed,Truck with semi-trailer,Private company,No,400000,1857687.7827873742,6296908.92016157
