objectid,date,dead,serious.injuries,light.injuries,day.of.the.week,day/night,type.of.the.accident,cause.of.the.accident,alcohol.or.drugs,weather.conditions,place,vehicle.type,vehicle.characteristic,skid,total.damage.in.czk,x,y,lat,lng
497,2020/10/27 00:00,0,0,0,Fri,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,Private company,No,10000,1846434.0606491496,6317905.812821366,49.25303558700005,16.586799378000023
498,2020/10/27 00:00,0,0,0,Fri,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1847162.531612042,6308615.009691825,49.198529086000065,16.593343344000058
499,2020/10/26 00:00,0,0,0,Thu,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,"Exit from the car park, forest roads, etc.",Passenger car without a trailer,"Private, not used for business activity",No,50000,1854592.0906076247,6305707.2386401305,49.18145766500004,16.660084208000058
500,2020/10/26 00:00,0,1,0,Thu,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,20000,1849471.7181934875,6309051.148415988,49.20108913300003,16.614087120000022
501,2020/10/26 00:00,0,0,0,Thu,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,80000,1851410.3191844614,6313685.817531147,49.22828552700001,16.631501869000033
502,2020/10/26 00:00,0,0,0,Thu,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,30000,1845943.614468633,6306255.7940105265,49.184678665000035,16.582393625000062
503,2020/10/26 00:00,0,0,0,Thu,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,Private company,No,5000,1847538.0083583037,6308539.353532003,49.19808498600002,16.596716309000044
504,2020/10/25 00:00,0,0,0,Wed,Day,Collision with wildlife animals,"Forest animals, pets",Not tested,Clear,None or none of listed,Passenger car without a trailer,Private company,No,30000,1858615.324057941,6303933.509282377,49.17104127000004,16.696225529000056
505,2020/10/25 00:00,0,0,1,Wed,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,Private company,No,80000,1845932.0375755494,6306274.869937878,49.18479067100002,16.58228962800007
506,2020/10/25 00:00,0,0,1,Wed,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,20000,1849323.366381652,6302944.784536243,49.16523393800003,16.612754453000036
507,2020/10/25 00:00,0,0,0,Wed,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,35000,1847893.3583179924,6309037.84422129,49.201011042000054,16.59990847200004
508,2020/10/25 00:00,0,0,0,Wed,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,Registered outside of the Czech Republic,No,20000,1848653.5929617456,6306959.14737049,49.188808299000065,16.606737776000045
509,2020/10/25 00:00,0,0,1,Wed,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,10000,1845513.4706128696,6315365.998676757,49.23814119100007,16.578529577000037
510,2020/10/25 00:00,0,0,0,Wed,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,120000,1843186.5532855683,6311892.63050161,49.21776482000006,16.557626523000064
511,2020/10/25 00:00,0,0,1,Wed,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,0,1849520.8000701743,6307838.254610672,49.19396936100002,16.614528030000034
512,2020/10/25 00:00,0,0,0,Wed,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,Private company,No,30000,1841092.833593548,6307996.13687078,49.19489619900001,16.53881831900003
513,2020/10/25 00:00,0,0,0,Wed,Day,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1858117.6770648402,6305633.026149235,49.18102188900008,16.691755090000072
514,2020/10/25 00:00,0,0,0,Wed,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,Private company,No,0,1854424.8016806128,6309471.2263344675,49.20355478100003,16.65858142600007
515,2020/10/24 00:00,0,0,0,Tue,Night,Collision with a parked vehicle,Driver of a non-motorized vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1848163.560444455,6309888.734666535,49.20600522500006,16.60233573900007
516,2020/10/24 00:00,0,0,0,Tue,Night,Crash,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,Private company,Yes,80000,1834454.081804032,6310788.611497011,49.21128637800007,16.479181397000048
517,2020/10/24 00:00,0,0,0,Tue,Night,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1848950.3267530021,6307639.866108233,49.19280470900003,16.60940338100005
518,2020/10/24 00:00,0,0,0,Tue,Night,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1848950.9934454309,6307641.620945307,49.192815011000036,16.609409370000037
519,2020/10/24 00:00,0,0,0,Tue,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1850534.0763842848,6312304.1399462195,49.22017936200006,16.623630446000046
520,2020/10/24 00:00,0,0,1,Tue,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,60000,1848875.244316808,6310479.140085043,49.20947023100006,16.60872890400003
521,2020/10/24 00:00,0,0,0,Tue,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1851119.3404995636,6301541.604743263,49.15699111100008,16.628887963000064
522,2020/10/24 00:00,0,0,0,Tue,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Truck,Registered outside of the Czech Republic,No,10000,1849703.1549770748,6308216.096604168,49.196187430000066,16.616166152000062
523,2020/10/24 00:00,0,0,0,Tue,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1850096.674497722,6305308.8873699615,49.179118500000065,16.61970119800003
524,2020/10/24 00:00,0,0,1,Tue,Night,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,60000,1849872.0767383787,6306526.124024217,49.186265908000045,16.61768360200006
525,2020/10/23 00:00,0,0,0,Mon,Night,Collision with wildlife animals,"Forest animals, pets",Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,100000,1858927.9214332318,6304316.111759921,49.17328832500004,16.699033639000053
526,2020/10/23 00:00,0,0,0,Mon,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1852848.3786529317,6308556.026449022,49.198182856000074,16.64442017700003
527,2020/10/23 00:00,0,1,0,Mon,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,None or none of listed,Truck,Private company,No,0,1850043.5756572129,6314564.5087052565,49.233440029000064,16.619224203000044
528,2020/10/23 00:00,0,0,1,Mon,Day,Collision with a tram,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,20000,1848636.4322830036,6309585.764054875,49.20422703900003,16.606583619000048
529,2020/10/23 00:00,0,0,1,Mon,Day,Collision with a non rail vehicle,Driver of a non-motorized vehicle,No,Clear,None or none of listed,Bicycle,"Private, not used for business activity",No,1000,1847150.3299939767,6306726.868246522,49.187444545000055,16.59323373500007
530,2020/10/23 00:00,0,0,0,Mon,Day,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Bus,Private company,No,20000,1851012.8290088973,6311409.183008913,49.21492802900008,16.627931154000066
531,2020/10/23 00:00,0,0,1,Mon,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,10000,1847564.60603556,6310888.17487346,49.21187065600003,16.596955240000057
532,2020/10/23 00:00,0,0,0,Mon,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,0,1848357.4268998932,6309002.08104998,49.20080112400006,16.60407727100005
533,2020/10/23 00:00,0,0,0,Mon,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1848190.004834767,6308521.100584318,49.19797784100007,16.60257329300003
534,2020/10/22 00:00,0,0,1,Sun,Day,Crash,The driver of the motor vehicle,No,Rain,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,10000,1860243.4419647101,6315329.147125206,49.23792504700003,16.71085116100005
535,2020/10/22 00:00,0,0,0,Sun,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1852913.6639720574,6300736.581122705,49.152261468000056,16.64500664500002
536,2020/10/22 00:00,0,0,1,Sun,Night,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,50000,1849717.9113774556,6306830.847804703,49.18805503300006,16.616298711000066
537,2020/10/22 00:00,0,1,0,Sun,Night,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",Yes,100000,1844565.7278603502,6309953.1037751855,49.206383010000074,16.570015859000023
538,2020/10/22 00:00,0,0,0,Sun,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1848351.937067885,6307475.2848988455,49.19183850400002,16.60402795500005
539,2020/10/21 00:00,0,0,0,Sat,Night,Collision with a parked vehicle,The driver of the motor vehicle,Under influence of alcohol,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,10000,1840346.019404971,6308730.766294045,49.19920856700003,16.53210957300007
540,2020/10/21 00:00,0,0,1,Sat,Day,Other collisions,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,0,1853004.2201514319,6308411.552042485,49.19733478500006,16.645820125000057
541,2020/10/21 00:00,0,0,2,Sat,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Truck,Private company,Yes,150000,1852603.8701781458,6310223.401298652,49.207969366000036,16.64222372000006
542,2020/10/21 00:00,0,0,0,Sat,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Passenger car without a trailer,Private company,No,0,1857388.2697937095,6304393.134263421,49.173740672000065,16.685202713000024
543,2020/10/21 00:00,0,0,0,Sat,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1842876.560897678,6303490.188164254,49.16843748200005,16.55484181400004
544,2020/10/20 00:00,0,0,0,Fri,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,"Exit from the car park, forest roads, etc.","Not identified, the driver has fled",Not identified,No,0,1847234.091120309,6308057.754371699,49.19525791600005,16.59398617400006
545,2020/10/20 00:00,0,0,0,Fri,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Fog,Near the pedestrian crossing,Passenger car without a trailer,Private company,No,80000,1838887.1895006301,6312035.609459764,49.218603766000044,16.519004681000066
546,2020/10/20 00:00,0,0,0,Fri,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Fog,"Bridge, overpass, underpass, tunnel",Truck,Private company,No,80000,1858166.897534289,6306140.386303205,49.184001033000065,16.692197245000045
547,2020/10/20 00:00,0,0,1,Fri,Day,Collision with pedestrian,Pedestrian,Under influence of alcohol,Clear,Pedestrian crossing,Tram,Public transport,No,2000,1849398.229184491,6307590.40172471,49.19251432100003,16.613426957000062
548,2020/10/20 00:00,0,0,0,Fri,Day,Other collisions,Road defect,Not tested,Clear,"Bus, trolleybus, tram stop. islet",Passenger car without a trailer,Not identified,No,15000,1855106.6498143661,6309947.949423498,49.206352759000026,16.664706572000057
549,2020/10/20 00:00,0,0,0,Fri,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,0,1857383.4708104637,6304074.202092244,49.171867582000054,16.68515960300004
550,2020/10/20 00:00,0,0,0,Fri,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1846916.8028529948,6310385.830264418,49.20892262500007,16.59113592500006
551,2020/10/20 00:00,0,0,0,Fri,Night,Collision with a non rail vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1849876.0839060883,6306533.4485068265,49.18630891300005,16.617719599000054
552,2020/10/19 00:00,0,0,0,Thu,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,150000,1840797.6744164915,6312739.981392105,49.22273654400004,16.536166859000048
553,2020/10/19 00:00,0,0,1,Thu,Day,Crash,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1836967.806149951,6308416.051801675,49.19736119900005,16.50176256700007
554,2020/10/19 00:00,0,0,0,Thu,Day,Other collisions,Technical defect of the vehicle,Not tested,Clear,None or none of listed,Bus,Public transport - city- local,No,70000,1859741.8083980025,6314505.34041634,49.23309295800004,16.70634491000004
555,2020/10/19 00:00,0,0,0,Thu,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,90000,1858251.8466622308,6306463.141571069,49.18589611100003,16.69296035600007
556,2020/10/19 00:00,0,0,0,Thu,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Truck,"Private, not used for business activity",No,5000,1849424.2525644929,6306876.847596846,49.18832510600003,16.61366072900006
557,2020/10/19 00:00,0,1,0,Thu,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,15000,1840833.7355862986,6312589.132017595,49.221851491000045,16.53649080200006
558,2020/10/19 00:00,0,0,1,Thu,Night,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,5000,1844040.006870908,6304868.720439505,49.17653366000007,16.56529322700004
559,2020/10/19 00:00,0,0,0,Thu,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1844355.3824467293,6308197.721874556,49.19607956600004,16.56812629400002
560,2020/10/19 00:00,0,0,0,Thu,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Motorbike,"Private, not used for business activity",No,0,1852623.2451128752,6310368.242625924,49.20881940800007,16.642397768000023
561,2020/10/18 00:00,0,0,2,Wed,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Truck,Private company,No,120000,1845713.642426906,6312802.528600611,49.22310351200007,16.580327751000027
562,2020/10/18 00:00,0,0,0,Wed,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,40000,1853028.1024123437,6307553.526599653,49.19229783900005,16.646034663000023
563,2020/10/18 00:00,0,0,0,Wed,Night,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1844017.1860413346,6304861.398765775,49.17649066300003,16.565088224000018
564,2020/10/18 00:00,0,0,1,Wed,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Under influence of alcohol,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,50000,1849839.6148616646,6313923.681315333,49.229680916000056,16.617391992000023
565,2020/10/18 00:00,0,0,0,Wed,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1851174.175478848,6303377.854955817,49.167777686000086,16.62938055400002
566,2020/10/18 00:00,0,0,0,Wed,Day,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,5000,1849624.2005150341,6310486.099265662,49.20951107200005,16.615456892000054
567,2020/10/18 00:00,0,0,0,Wed,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1849861.18501676,6313187.777681168,49.225363730000026,16.61758576000005
568,2020/10/18 00:00,0,0,1,Wed,Day,Crash,Driver of a non-motorized vehicle,No,Clear,"Bus stop, trolleybus, tramway without boarding. islet",Bicycle,"Private, not used for business activity",No,5000,1852007.2129582616,6311286.396862146,49.21420751400006,16.636863857000037
569,2020/10/18 00:00,0,0,0,Wed,Day,Collision with a parked vehicle,The driver of the motor vehicle,Under influence of alcohol,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,5000,1844971.9758742217,6311197.056522516,49.21368325400004,16.57366524700006
570,2020/10/18 00:00,0,0,0,Wed,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1846729.2286204477,6313426.877527345,49.22676645300004,16.58945091700002
571,2020/10/18 00:00,0,0,0,Wed,Night,Collision with a parked vehicle,The driver of the motor vehicle,Under influence of alcohol,Clear,Parking slot adjacent to the road,Passenger car without a trailer,Private company,No,90000,1840124.767130277,6307047.007774815,49.18932413400005,16.53012203000003
572,2020/10/18 00:00,0,0,0,Wed,Night,Collision with a non rail vehicle,The driver of the motor vehicle,Under influence of drugs,Clear,None or none of listed,Passenger car without a trailer,"Private, used for business activity",No,20000,1849848.924733323,6306592.212360374,49.18665393800006,16.61747562400006
573,2020/10/18 00:00,0,0,0,Wed,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1846092.780471226,6306214.742405697,49.18443762600003,16.583733606000067
574,2020/10/18 00:00,0,0,0,Wed,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Passenger car without a trailer,Private company,No,0,1843197.3933549386,6313058.300874479,49.22460411400003,16.557723901000028
575,2020/10/18 00:00,0,0,0,Wed,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,0,1850382.5981645507,6309925.4583171,49.206220758000015,16.622269694000064
576,2020/10/18 00:00,0,0,0,Wed,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1847102.2065781069,6311948.048948146,49.21808999600005,16.59280143500007
577,2020/10/18 00:00,0,0,0,Wed,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1849474.6520186723,6308222.371488795,49.19622426500007,16.614113475000067
578,2020/10/18 00:00,0,0,0,Wed,Day,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Passenger car without a trailer,Private company,No,0,1849405.2122561447,6306768.858775497,49.187691082000065,16.613489687000023
579,2020/10/17 00:00,0,0,0,Tue,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Truck,Private company,No,1000,1841818.4450926804,6312036.014397505,49.218606142000056,16.545336598000063
580,2020/10/17 00:00,0,0,0,Tue,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,50000,1847454.5460134824,6309269.574570821,49.20237120100005,16.59596655400003
581,2020/10/17 00:00,0,0,1,Tue,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,20000,1852509.0548037358,6310991.60153492,49.21247759800007,16.641371979000038
582,2020/10/17 00:00,0,0,0,Tue,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,"Exit from the car park, forest roads, etc.","Not identified, the driver has fled",Not identified,No,0,1849738.073007028,6304118.238631512,49.17212621300006,16.61647982600004
583,2020/10/17 00:00,0,0,0,Tue,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1851871.520287601,6307624.040737615,49.19271180400005,16.635644909000064
584,2020/10/17 00:00,0,0,1,Tue,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,15000,1844474.0363334988,6307875.063866144,49.19418544900002,16.569192180000073
585,2020/10/17 00:00,0,0,1,Tue,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,0,1843496.5726127687,6311765.475674037,49.21701871200002,16.560411474000034
586,2020/10/17 00:00,0,0,1,Tue,Day,Crash,The driver of the motor vehicle,No,Clear,None or none of listed,Motorbike,"Private, not used for business activity",No,20000,1845920.1499897623,6316202.169906428,49.243045300000055,16.58218284000003
587,2020/10/17 00:00,0,0,0,Tue,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1848358.2238361284,6308972.744418434,49.20062892700003,16.604084430000057
588,2020/10/17 00:00,0,0,1,Tue,Night,Collision with a fixed obstacle,The driver of the motor vehicle,Under influence of alcohol,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,20000,1848345.0874683002,6312031.346025567,49.218578750000056,16.603966424000077
589,2020/10/16 00:00,0,0,1,Mon,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,90000,1846683.0197885016,6308331.234624175,49.196863312000055,16.589035816000035
590,2020/10/16 00:00,0,0,0,Mon,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Truck,"Private, not used for business activity",No,0,1848216.8330546867,6308540.704297708,49.19809291500006,16.60281429500003
591,2020/10/16 00:00,0,0,0,Mon,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Not tested,Clear,"Exit from the car park, forest roads, etc.","Not identified, the driver has fled",Not identified,No,0,1851477.6557878489,6307169.7498684395,49.19004475300004,16.63210676400007
592,2020/10/16 00:00,0,0,0,Mon,Night,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1852433.4520602457,6307443.794920839,49.19165363400003,16.640692828000052
593,2020/10/16 00:00,0,0,0,Mon,Day,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Tractor (also with trailer),Private company,No,0,1846019.5481649686,6306666.102366962,49.187087771000044,16.583075749000045
594,2020/10/16 00:00,0,0,0,Mon,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,20000,1856777.0401845714,6311312.148377855,49.21435862600003,16.679711944000072
595,2020/10/16 00:00,0,0,1,Mon,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,0,1857445.6906134542,6310031.870280802,49.20684529000003,16.68571853300006
596,2020/10/16 00:00,0,0,1,Mon,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,50000,1847373.8554126665,6306612.230059827,49.18677146900006,16.595241698000052
597,2020/10/16 00:00,0,0,0,Mon,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,120000,1850842.2376778661,6311413.227655232,49.214951763000045,16.626398706000032
598,2020/10/16 00:00,0,0,1,Mon,Day,Other collisions,Pedestrian,No,Clear,None or none of listed,Bus,Public transport,No,10000,1858513.0192195096,6310057.390663896,49.206995068000026,16.695306509000034
599,2020/10/16 00:00,0,0,0,Mon,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Truck,"Private, used for business activity",No,30000,1847201.4101668382,6312486.634564584,49.22125011600008,16.59369259600004
600,2020/10/16 00:00,0,0,0,Mon,Night,Crash,The driver of the motor vehicle,Under influence of alcohol,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,35000,1857569.1471570109,6310154.72146445,49.20756629400005,16.686827562000072
601,2020/10/15 00:00,0,0,2,Sun,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,0,1850877.24198043,6311408.84694923,49.21492605700007,16.62671315500006
602,2020/10/15 00:00,0,0,0,Sun,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1846473.3329409903,6311094.921597124,49.21308390700005,16.587152167000056
603,2020/10/15 00:00,0,0,0,Sun,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1840323.264031256,6304372.296178074,49.17361829200007,16.531905158000026
604,2020/10/15 00:00,0,0,0,Sun,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1845451.0552215332,6319406.341342131,49.26183312200005,16.577968890000022
605,2020/10/15 00:00,0,0,1,Sun,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,0,1848273.1439077891,6304974.488913253,49.17715478800005,16.60332014400007
606,2020/10/15 00:00,0,0,0,Sun,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,Registered outside of the Czech Republic,No,150000,1853630.431248966,6306459.731511741,49.185876089000026,16.65144547500006
607,2020/10/14 00:00,0,0,0,Sat,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1850408.26710329,6308683.890948655,49.19893341400005,16.622500282000033
608,2020/10/14 00:00,0,0,0,Sat,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1847236.7990782375,6309065.981346053,49.201176197000045,16.594010500000024
609,2020/10/14 00:00,0,0,0,Sat,Day,Crash,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Truck,Private company,No,20000,1848902.345158163,6311882.877911207,49.21770759500002,16.60897235500005
